primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
TOP2A,lymphoma,cytotoxic_chemo,4,0,0.0,0.0453290687164671,1.2800961847108143e-06,0.21583677138822724,0.25931056800784047,1.4613136440143757,0.6992243943578348
CDK4,breast cancer,cell_cycle,4,1,0.25,0.18463182108312934,0.03524794982873193,0.40527196392172526,0.9035267611747109,5.406325300121156,0.38797840902260544
UNKNOWN,lymphoma,unmapped,4,4,1.0,0.7260732115543705,0.4339815252148275,0.9422025713839515,1.1575386604781213,1.9457927645126345,0.563116059308074
BTK,lymphoma,growth_factor_kinase,4,1,0.25,0.2102560103520881,0.032571273843564924,0.4773321244657629,0.6025372726252013,3.019300837693942,0.5248077881088071
TUBB,prostate cancer,cytotoxic_chemo,4,0,0.0,0.0453290687164671,1.2800961847108143e-06,0.21583677138822724,0.25931056800784047,1.4613136440143757,0.6992243943578348
TYMS,cancer nos,cytotoxic_chemo,4,0,0.0,0.0453290687164671,1.2800961847108143e-06,0.21583677138822724,0.25931056800784047,1.4613136440143757,0.6992243943578348
TNFRSF8,lymphoma,bcell_lymphoma_target,3,1,0.3333333333333333,0.1807239336236475,0.03483742149290458,0.3964092945064721,0.9233284936601529,6.719027806891773,0.28189246021056596
ERBB2,cancer nos,growth_factor_kinase,3,1,0.3333333333333333,0.24200792075056726,0.03860106593067808,0.5379497754610196,0.6025372726252013,3.019300837693942,0.4530464124945835
UNKNOWN,nsclc,unmapped,3,0,0.0,0.18965685784954311,0.01644961892156814,0.48136289347327793,1.1575386604781213,1.9457927645126345,0.491534834191729
KDR,cancer nos,angiogenesis,3,0,0.0,0.10541526223518276,0.0017926559982338378,0.342127811136286,0.6705817555284743,2.6907528492500834,0.4715991511822749
TOP2A,leukemia,cytotoxic_chemo,3,0,0.0,0.05493141507587983,1.5917148217619508e-06,0.2607268645258504,0.25931056800784047,1.4613136440143757,0.6355091753246894
PDCD1,pancreatic cancer,immune_checkpoint,3,0,0.0,0.10388528676219143,0.002339290230272227,0.3281528423845061,0.7256650443404796,3.259588276484756,0.42947619251775127
PDCD1,prostate cancer,immune_checkpoint,3,0,0.0,0.10388528676219143,0.002339290230272227,0.3281528423845061,0.7256650443404796,3.259588276484756,0.42947619251775127
ABL1,breast cancer,growth_factor_kinase,3,1,0.3333333333333333,0.24200792075056726,0.03860106593067808,0.5379497754610196,0.6025372726252013,3.019300837693942,0.4530464124945835
CTLA4,melanoma,immune_checkpoint,3,0,0.0,0.10388528676219143,0.002339290230272227,0.3281528423845061,0.7256650443404796,3.259588276484756,0.42947619251775127
