nct_id,canonical_drug,primary_target,disease,biomarker,modality,label_balanced,predicted_p,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,top_strength,top_risk
NCT03712930,unmapped,UNKNOWN,prostate cancer,BRCA1/2,unknown,0,0.5189,0.24952494000000003,0.6590136,0.450112,0.3294538,0.662722,0.3970614,0.441132098,TWS,CDS
NCT04425655,unmapped,UNKNOWN,AML,ER negative,unknown,0,0.5177,0.23468436000000004,0.7548708,0.41730100000000003,0.36112285,0.6314956,0.3373538,0.440314622,TDS,CDS
NCT05743270,nivolumab,PDCD1,HNSCC,PD-L1,antibody,0,0.5133,0.33881849355758314,0.25175600000000004,0.449525,0.5954275,0.5499772,0.2827772203373691,0.416954511762122,MCS,TDS
NCT04139057,unmapped,UNKNOWN,HNSCC,,unknown,1,0.5127,0.20277660000000003,0.6960936,0.2625,0.36714535,0.7437147999999999,0.3716502,0.42507817999999997,TWS,CDS
NCT04013880,unmapped,UNKNOWN,AML,IDH1 mutation,unknown,0,0.5124,0.21959220000000002,0.7104116,0.4020855,0.3648751,0.6531747999999999,0.2887602,0.425058275,TDS,CDS
NCT00960544,capecitabine,TYMS,breast cancer,,small_molecule,0,0.5117,0.30973308,0.708742,0.2625,0.6243085500000001,0.6371308,0.3945512,0.487246926,TDS,BFS
NCT03533946,rucaparib,PARP1,prostate cancer,BRCA1/2,small_molecule,0,0.508,0.51012762,0.302022,0.4992995,0.63286555,0.5415652,0.3171100597014926,0.47759814795522393,MCS,TDS
NCT04407442,unmapped,UNKNOWN,multiple myeloma,ER negative,unknown,0,0.5015,0.24050316,0.720866,0.4188835,0.32423755,0.6205456,0.3791194,0.43386031700000005,TDS,CDS
NCT03649464,unmapped,UNKNOWN,glioblastoma,ER negative,unknown,0,0.5013,0.20160762000000002,0.704254,0.424516,0.34285344999999995,0.6561064000000001,0.395433,0.435938624,TDS,CDS
NCT05456165,atezolizumab,CD274,colorectal cancer,PD-L1,antibody,0,0.4977,0.3560032834529789,0.28101200000000004,0.402261,0.6545402499999999,0.6829372,0.3954372396825397,0.4663558226429767,TWS,TDS
NCT05572476,durvalumab,CD274,SCLC,,antibody,0,0.4942,0.35890266000000004,0.29297000000000006,0.2625,0.6566050000000001,0.643726,0.28380618277823655,0.4255518594167355,MCS,BFS
NCT05027867,unmapped,UNKNOWN,SCLC,PD-L1,unknown,0,0.4936,0.30170058,0.6862636,0.44783799999999996,0.37256544999999996,0.6041392,0.35738820000000004,0.449197556,TDS,CDS
NCT04276597,unmapped,UNKNOWN,glioma,,unknown,0,0.4931,0.20533266,0.7224408,0.2625,0.33634405,0.5782684,0.35789820000000006,0.39650145200000003,TDS,CDS
NCT03740100,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.4884,0.24469122000000001,0.6765439999999999,0.2625,0.3556238500000001,0.667516,0.42977160000000003,0.425512754,TDS,CDS
NCT05561751,unmapped,UNKNOWN,multiple myeloma,,unknown,1,0.4857,0.2372166,0.6973764,0.2625,0.37386415,0.7002615999999999,0.3679152,0.42642412999999996,TWS,CDS
NCT04313504,niraparib,PARP1,HNSCC,,small_molecule,1,0.4832,0.5344777800000001,0.290208,0.2625,0.6354371500000001,0.6327904,0.21578638208955225,0.44417570331343287,MCS,EMS
NCT05282901,pembrolizumab,PDCD1,melanoma,PD-L1,antibody,1,0.4806,0.34653568477623564,0.260072,0.448437,0.62640955,0.71458,0.4603886027071147,0.4771106873613143,TWS,TDS
NCT07122063,unmapped,UNKNOWN,solid tumors,HER2 amplification,unknown,1,0.4774,0.24155034000000003,0.6973995999999999,0.369295,0.3480733,0.6316204000000001,0.4215594,0.43590588799999996,TDS,CDS
NCT04155190,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.4759,0.22975764,0.7262324,0.2625,0.3610975,0.7041652,0.3304838,0.421678238,TDS,CDS
NCT05227131,tucatinib,ERBB2,HER2+ breast cancer,HER2 amplification,small_molecule,0,0.4732,0.5503252688905944,0.28979600000000005,0.41834000000000005,0.6477072500000001,0.5951932,0.6960053733636786,0.5395066897826707,EMS,TDS
NCT04440982,unmapped,UNKNOWN,breast cancer,,unknown,0,0.4727,0.24789204000000004,0.7392332,0.2625,0.37111615000000003,0.6416704,0.4059228,0.431200598,TDS,CDS
NCT03993379,ipilimumab,CTLA4,melanoma,PD-L1,antibody,0,0.4713,0.27655090974482416,0.32120200000000004,0.450939,0.6196074,0.5821372,0.5109247534613147,0.4590121049681621,MCS,CDS
NCT04231981,unmapped,UNKNOWN,cancer NOS,PD-L1,unknown,1,0.4673,0.22593342,0.7322848,0.40518000000000004,0.32797435,0.7474648,0.3731595999999999,0.44949493399999996,TWS,CDS
NCT05815186,sotorasib,KRAS,NSCLC,ER negative,small_molecule,0,0.4658,0.580024203672598,0.31670400000000004,0.432645,0.6000613,0.6629176000000001,0.6073238290168672,0.5389556650870497,TWS,TDS
NCT04525391,durvalumab,CD274,cancer NOS,PD-L1,antibody,0,0.4652,0.37190406,0.306344,0.5262450000000001,0.613348,0.6061936,0.6352441129186164,0.5081544189377925,EMS,TDS
NCT04410874,unmapped,UNKNOWN,melanoma,,unknown,0,0.4643,0.26364312,0.696778,0.2625,0.39256405,0.7887196000000001,0.3320144,0.443243234,TWS,BFS
NCT03937791,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.458,0.2188575,0.712206,0.2625,0.373093,0.7288,0.4254156,0.43772834000000005,TWS,CDS
NCT06268574,unmapped,UNKNOWN,AML,,unknown,1,0.4556,0.26270844000000004,0.7498884,0.2625,0.37357270000000004,0.7749748000000001,0.3743058,0.451506578,TWS,BFS
NCT04460729,unmapped,UNKNOWN,NSCLC,ALK fusion,unknown,0,0.4552,0.25551516,0.7134271999999999,0.42181399999999997,0.3423919,0.6292072000000001,0.42606840000000007,0.448158932,TDS,CDS
NCT04189445,unmapped,UNKNOWN,gastric cancer,FGFR alteration,unknown,0,0.4503,0.27066402,0.7281587999999999,0.4144185,0.35896315,0.6446152,0.36948480000000006,0.4494270290000001,TDS,CDS
NCT05120622,tremelimumab,CTLA4,bladder cancer,PD-L1,antibody,0,0.4472,0.30541806,0.28591000000000005,0.3902945,0.6295452,0.7698688,0.31647378150087263,0.4513747142251309,TWS,TDS
NCT05994001,unmapped,UNKNOWN,cancer NOS,PD-L1,unknown,1,0.4464,0.24591443999999998,0.7357448,0.45553049999999995,0.33935815,0.6870232000000001,0.37746359999999995,0.455418833,TDS,CDS
NCT04560127,unmapped,UNKNOWN,thyroid cancer,PD-L1,unknown,1,0.4431,0.28556832000000004,0.700078,0.4394365,0.36427915,0.6475036000000001,0.353775,0.451088459,TDS,CDS
NCT05445882,unmapped,UNKNOWN,prostate cancer,ER negative,unknown,0,0.4425,0.23644355999999994,0.7385412,0.44444,0.33192309999999997,0.6592576,0.367848,0.44518635199999995,TDS,CDS
NCT03642990,unmapped,UNKNOWN,breast cancer,,unknown,0,0.4398,0.25290126,0.7040692000000001,0.2625,0.36057279999999997,0.6723460000000001,0.38783999999999996,0.426708092,TDS,CDS
NCT05041101,unmapped,UNKNOWN,cancer NOS,HER2 amplification,unknown,0,0.4394,0.27587406,0.6958447999999999,0.43579749999999995,0.3946927,0.6746536,0.3555468,0.45838975699999995,TDS,CDS
NCT05355597,unmapped,UNKNOWN,cancer NOS,,unknown,1,0.4356,0.23233698,0.6763608000000001,0.2625,0.35261545,0.5970016,0.41405519999999996,0.409478126,TDS,CDS
NCT06521775,unmapped,UNKNOWN,cancer NOS,PSMA,unknown,1,0.4343,0.27176303999999996,0.733528,0.41785550000000005,0.38810829999999996,0.6258256000000001,0.4178496,0.46123307299999994,TDS,CDS
NCT04077723,obinutuzumab,MS4A1,lymphoma,CD19,antibody,1,0.4338,0.36610572321402995,0.38202900000000006,0.4586905,0.6132782499999999,0.6313084,0.423089162962963,0.4801443540872504,TWS,CDS
NCT04655183,niraparib,PARP1,breast cancer,BRCA1/2,small_molecule,0,0.4304,0.4237324822217997,0.33504,0.4250045,0.6347806,0.7123468000000001,0.42645249253731343,0.49652918532495693,TWS,TDS
NCT04404361,unmapped,UNKNOWN,cancer NOS,,unknown,0,0.4245,0.24313458,0.7012731999999999,0.2625,0.33498325,0.7903744,0.36396120000000004,0.433339886,TWS,CDS
NCT04243122,unmapped,UNKNOWN,cancer NOS,,unknown,1,0.4224,0.24699216000000002,0.7093392,0.2625,0.35449270000000005,0.5336188000000001,0.3838614,0.403694882,TDS,CDS
NCT04469699,unmapped,UNKNOWN,glioblastoma,,unknown,0,0.4207,0.26183268000000004,0.7410080000000001,0.2625,0.36855114999999994,0.6880959999999999,0.4336746,0.44486855599999997,TDS,CDS
NCT04577963,unmapped,UNKNOWN,TNBC,PD-L1,unknown,0,0.4205,0.31601736,0.6805283999999999,0.4694195,0.38022190000000006,0.7319127999999999,0.35533020000000004,0.47482648699999996,TWS,CDS
NCT05496231,unmapped,UNKNOWN,cancer NOS,,unknown,1,0.4185,0.25335516,0.7619923999999999,0.2625,0.36536935,0.6784084,0.34409360000000005,0.43079406200000003,TDS,CDS
NCT06257758,unmapped,UNKNOWN,breast cancer,BRCA1/2,unknown,0,0.4144,0.26716578,0.7088184,0.393187,0.3497053,0.686284,0.4030458,0.452074496,TDS,CDS
