nct_id,canonical_drug,primary_target,disease,mechanism_family,genomic_evidence_coverage,ml_model_probability,hierarchical_base_rate,hierarchical_ci,pair_n_trials_seen,own_data_weight,blended_decision_score,percentile_vs_historical_profiles
NCT01853618,tremelimumab,CTLA4,hepatocellular carcinoma,immune_checkpoint,0.67,0.133,0.146,"[0.00, 0.45]",1,0.13,0.144,14.7
NCT00182689,sorafenib,BRAF,cancer nos,ras_mapk_pathway,0.89,0.136,0.217,"[0.04, 0.48]",4,0.43,0.182,29.0
NCT00313560,erlotinib,EGFR,pancreatic cancer,growth_factor_kinase,0.89,0.133,0.186,"[0.03, 0.43]",5,0.52,0.159,14.7
NCT00360360,erlotinib,EGFR,cancer nos,growth_factor_kinase,0.89,0.133,0.082,"[0.01, 0.20]",16,0.72,0.119,14.7
NCT00161213,imatinib,ABL1,pancreatic cancer,growth_factor_kinase,0.89,0.136,0.13,"[0.00, 0.43]",1,0.19,0.131,29.0
NCT00137423,sunitinib,VEGFR2,renal cell carcinoma,angiogenesis,0.78,0.242,0.235,"[0.07, 0.46]",8,0.55,0.239,74.5
NCT02311361,durvalumab,CD274,pancreatic cancer,immune_checkpoint,0.67,0.207,0.146,"[0.00, 0.45]",1,0.13,0.154,70.5
NCT03211117,pembrolizumab,PDCD1,thyroid cancer,immune_checkpoint,0.67,0.14,0.146,"[0.00, 0.45]",1,0.13,0.145,52.8
NCT01262820,pazopanib,VEGFR2,cancer nos,angiogenesis,0.78,0.242,0.297,"[0.11, 0.52]",9,0.57,0.266,74.5
NCT00881296,gemcitabine,RRM1,nsclc,cytotoxic_chemo,0.33,0.133,0.22,"[0.02, 0.53]",4,0.23,0.2,14.7
NCT00345540,carboplatin,DNA,ovarian cancer,cytotoxic_chemo,0.33,0.136,0.045,"[0.00, 0.22]",4,0.23,0.066,29.0
NCT02729896,atezolizumab,CD274,lymphoma,immune_checkpoint,0.67,0.207,0.288,"[0.05, 0.61]",2,0.22,0.27,70.5
NCT03365882,cetuximab,EGFR,colorectal cancer,growth_factor_kinase,0.89,0.113,0.039,"[0.00, 0.14]",12,0.68,0.09,3.1
NCT01664182,sorafenib,BRAF,renal cell carcinoma,ras_mapk_pathway,0.89,0.136,0.096,"[0.00, 0.30]",4,0.43,0.113,29.0
NCT00669162,docetaxel,TUBB,prostate cancer,cytotoxic_chemo,0.33,0.133,0.045,"[0.00, 0.22]",4,0.23,0.066,14.7
NCT00387959,rituximab,MS4A1,leukemia,bcell_lymphoma_target,0.78,0.113,0.059,"[0.00, 0.18]",8,0.4,0.081,3.1
NCT00267696,bevacizumab,VEGFA,ovarian cancer,angiogenesis,0.67,0.136,0.072,"[0.00, 0.24]",6,0.43,0.099,29.0
NCT00687297,carboplatin,DNA,nsclc,cytotoxic_chemo,0.33,0.136,0.039,"[0.00, 0.18]",5,0.25,0.063,29.0
NCT00567359,erlotinib,EGFR,nsclc,growth_factor_kinase,0.89,0.167,0.191,"[0.05, 0.38]",10,0.65,0.175,63.6
NCT00774046,etoposide,TOP2A,leukemia,cytotoxic_chemo,0.56,0.05,0.055,"[0.00, 0.26]",3,0.35,0.053,0.0
NCT02102490,abemaciclib,CDK4,breast cancer,cell_cycle,0.89,0.187,0.185,"[0.04, 0.41]",4,0.34,0.185,66.5
NCT03369223,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT02130466,pembrolizumab,PDCD1,solid tumors,immune_checkpoint,0.67,0.14,0.192,"[0.03, 0.43]",5,0.37,0.173,52.8
NCT03296137,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT01004003,sorafenib,BRAF,hepatocellular carcinoma,ras_mapk_pathway,0.89,0.136,0.248,"[0.07, 0.48]",7,0.55,0.186,29.0
NCT02597322,axitinib,VEGFR2,renal cell carcinoma,angiogenesis,0.78,0.242,0.235,"[0.07, 0.46]",8,0.55,0.239,74.5
NCT01088529,abiraterone,CYP17A1,prostate cancer,hormonal,0.89,0.113,0.089,"[0.01, 0.25]",5,0.36,0.098,3.1
NCT03694002,ramucirumab,KDR,cancer nos,angiogenesis,0.33,0.097,0.105,"[0.00, 0.34]",3,0.16,0.104,2.0
NCT00185588,gemcitabine,RRM1,pancreatic cancer,cytotoxic_chemo,0.33,0.133,0.034,"[0.00, 0.16]",6,0.26,0.059,14.7
NCT01211483,erlotinib,EGFR,nsclc,growth_factor_kinase,0.89,0.167,0.191,"[0.05, 0.38]",10,0.65,0.175,63.6
NCT01014351,everolimus,MTOR,melanoma,cell_cycle,0.89,0.113,0.124,"[0.01, 0.36]",1,0.12,0.122,3.1
NCT03760666,unmapped,UNKNOWN,leukemia,unmapped,0.0,0.632,0.513,"[0.24, 0.78]",5,0.0,0.513,92.9
NCT00720356,erlotinib,EGFR,cancer nos,growth_factor_kinase,0.89,0.133,0.082,"[0.01, 0.20]",16,0.72,0.119,14.7
NCT00439231,lenalidomide,CRBN,leukemia,proteostasis_immunomodulatory,0.89,0.242,0.205,"[0.05, 0.42]",6,0.45,0.221,74.5
NCT03069937,docetaxel,TUBB,cancer nos,cytotoxic_chemo,0.33,0.133,0.039,"[0.00, 0.18]",5,0.25,0.062,14.7
NCT01216683,rituximab,MS4A1,lymphoma,bcell_lymphoma_target,0.78,0.113,0.092,"[0.03, 0.19]",24,0.59,0.105,3.1
NCT03459222,nivolumab,PDCD1,cancer nos,immune_checkpoint,0.67,0.14,0.078,"[0.01, 0.19]",18,0.55,0.112,52.8
NCT01927627,enzalutamide,AR,prostate cancer,hormonal,0.89,0.242,0.217,"[0.07, 0.41]",7,0.44,0.228,85.1
NCT00787761,cyclophosphamide,DNA,multiple myeloma,cytotoxic_chemo,0.33,0.136,0.03,"[0.00, 0.14]",7,0.27,0.058,29.0
NCT00859469,gemcitabine,RRM1,cancer nos,cytotoxic_chemo,0.33,0.133,0.163,"[0.02, 0.41]",6,0.26,0.155,14.7
NCT00271505,bevacizumab,VEGFA,nsclc,angiogenesis,0.67,0.136,0.091,"[0.00, 0.30]",4,0.36,0.107,29.0
NCT02453594,pembrolizumab,PDCD1,lymphoma,immune_checkpoint,0.67,0.2,0.303,"[0.09, 0.57]",5,0.37,0.265,67.7
